operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
StyleVisibility,noneq,2.5,2.0,False,addressbook,['missingElements'],"['codeError', 'missingInfo']","['assert', 'execute']",StyleVisibility_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR4-TD8-A1
EventHandlerReplace,noneq,2.5,2.0,False,addressbook,['brokenEventHandling'],['codeError'],"['execute', 'assert']",EventHandlerReplace_AddressBookAddAddressBookTest_32_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH4-A1
AttributeAdd,noneq,0.5,2.0,False,addressbook,['none'],['none'],['assert'],AttributeAdd_AddressBookAddGroupTest_40_-HTML1-BODY1-DIV1-DIV5-UL1-LI1-A1
AttributeReplace,noneq,2.5,3.0,False,addressbook,"['unExpectedElements', 'brokenEventHandling']",['wrongPage'],['executeAssertImmediate'],AttributeReplace_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR4-TD6-A1
StyleVisibility,noneq,2.0,2.0,True,addressbook,['missingElements'],['missingInfo'],"['find', 'execute', 'assert']",StyleVisibility_AddressBookRemoveMultipleAddressBookTest_36_-HTML1-BODY1-DIV1-DIV4
EventHandlerAdd,noneq,2.5,3.0,False,addressbook,"['brokenEventHandling', 'wrongElements']","['wrongPage', 'codeError']",['executeAssertImmediate'],EventHandlerAdd_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR4-TD8-A1-IMG1
TextDelete,noneq,2.0,2.0,True,addressbook,['missingElements'],['missingInfo'],['assert'],TextDelete_AddressBookRemoveMultipleAddressBookTest_36_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD5
StyleSize,noneq,1.0,2.0,False,addressbook,"['wrongSize', 'wrongPosition']","['cosmetic', 'css']",['assert'],StyleSize_AddressBookAddAddressBookTest_34_-HTML1-BODY1-DIV1-DIV4-FORM1-INPUT16
TextReplace,noneq,2.0,4.0,False,addressbook,['wrongElements'],['missingInfo'],['executeAssertPropagated'],TextReplace_AddressBookAddAddressBookTest_34_-HTML1-BODY1-DIV1-DIV4-FORM1-SELECT1-OPTION1
SubtreeDelete,noneq,2.5,1.0,True,addressbook,['missingElements'],"['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD7
AttributeReplace,noneq,2.5,2.0,True,addressbook,"['unExpectedElements', 'missingElements']",['codeError'],"['find', 'execute']",AttributeReplace_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR3-TD1-INPUT1
SubtreeDelete,noneq,2.5,1.0,True,addressbook,['missingElements'],"['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddressBookAddAddressBookTest_32_-HTML1-BODY1-DIV1-DIV3-UL1-LI4
StylePosition,noneq,1.0,2.0,True,addressbook,['wrongPosition'],"['css', 'cosmetic']",['assert'],StylePosition_AddressBookAddAddressBookTest_32_-HTML1-BODY1-DIV1-DIV2
StyleColor,noneq,1.0,2.0,False,addressbook,['wrongColor'],"['css', 'cosmetic']",['assert'],StyleColor_AddressBookAddAddressBookTest_49_-HTML1-BODY1-DIV1-DIV1
AttributeDelete,noneq,2.5,3.0,True,addressbook,"['wrongElements', 'wrongElementState']",['codeError'],"['execute', 'executeAssertImmediate']",AttributeDelete_AddressBookAddGroupTest_43_-HTML1-BODY1-DIV1-DIV4-FORM1-INPUT6
SubtreeInsert,noneq,0.5,2.0,False,addressbook,['unExpectedElements'],"['missingInfo', 'cosmetic']",['assert'],SubtreeInsert_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-DIV4
TextDelete,noneq,2.0,2.0,False,addressbook,['missingElements'],['missingInfo'],['assert'],TextDelete_AddressBookAddAddressBookTest_49_-HTML1-BODY1-DIV1-DIV1-FORM1-B1
SubtreeDelete,noneq,2.0,2.0,True,addressbook,['missingElements'],['missingInfo'],"['find', 'assert']",SubtreeDelete_AddressBookCheckBirthdayInfoTest_33_-HTML1-BODY1-DIV1-DIV4-TABLE1-TBODY1-TR2-TD5
EventHandlerAdd,noneq,2.5,3.0,False,addressbook,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddressBookAddMultipleGroupsTest_51_-HTML1-BODY1-DIV1-DIV4-FORM1-INPUT2
SubtreeInsert,noneq,0.5,2.0,False,addressbook,['unExpectedElements'],"['missingInfo', 'cosmetic']",['assert'],SubtreeInsert_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD5
StyleSize,noneq,0.5,2.0,False,addressbook,['wrongPosition'],['cosmetic'],['assert'],StyleSize_AddressBookAddAddressBookTest_33_-HTML1-BODY1-DIV1-DIV1
AttributeAdd,noneq,2.5,3.0,False,addressbook,"['brokenLink', 'brokenEventHandling']",['wrongPage'],['executeAssertImmediate'],AttributeAdd_AddressBookRemoveFromGroupTest_36_-HTML1-BODY1-DIV1-DIV1-FORM1-A1
StyleSize,noneq,1.0,2.0,False,addressbook,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH4
TextDelete,noneq,2.0,2.0,False,addressbook,['missingElements'],['missingInfo'],['assert'],TextDelete_AddressBookAddAddressBookTest_33_-HTML1-BODY1-DIV1-DIV1-FORM1-B1
SubtreeMove,noneq,1.0,2.0,True,addressbook,['wrongPosition'],"['cosmetic', 'css']",['assert'],SubtreeMove_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2
StyleSize,noneq,0.5,2.0,False,addressbook,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-DIV4-SELECT1
StyleSize,noneq,0.5,2.0,False,addressbook,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD8
TextInsert,noneq,2.0,2.0,False,addressbook,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH6
TextInsert,noneq,2.0,2.0,False,addressbook,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH9
StyleVisibility,noneq,2.5,2.0,False,addressbook,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['execute'],StyleVisibility_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD9
